Fs,Us,count
1,1,46700000
1,2,769000
1,3,131000
1,4,90000
1,5,51900
1,6,23700
1,7,16100
1,8,12100
1,9,10500
1,10,29000
1,11,27900
1,12,6120
2,1,521000
2,2,9690
2,3,27300
2,4,4260
2,5,5200
2,6,297
2,7,113
2,8,84
2,9,57
2,10,50
2,11,32
2,12,34
3,1,8400
3,2,5590
3,3,143000
3,4,16300
3,5,18100
3,6,8130
3,7,1430
3,8,525
3,9,212
3,10,103
3,11,118
3,12,69
4,1,484
4,2,895
4,3,10000
4,4,10700
4,5,32600
4,6,1770
4,7,1110
4,8,923
4,9,391
4,10,6250
4,11,88
4,12,87
5,1,262
5,2,88
5,3,681
5,4,22100
5,5,4620
5,6,20100
5,7,19500
5,8,4640
5,9,492
5,10,340
5,11,143
5,12,101
6,1,279000
6,2,46
6,3,81
6,4,2200
6,5,2200
6,6,1050
6,7,1010
6,8,542
6,9,21900
6,10,407
6,11,193
6,12,201
7,1,113
7,2,49
7,3,60
7,4,642
7,5,1010
7,6,452
7,7,795
7,8,243
7,9,246
7,10,151
7,11,1270
7,12,128000
8,1,89
8,2,36
8,3,79
8,4,169
8,5,438
8,6,94
8,7,165
8,8,152
8,9,122
8,10,100
8,11,66
8,12,406
9,1,59
9,2,35
9,3,26
9,4,68
9,5,67
9,6,40
9,7,55
9,8,81
9,9,135
9,10,79
9,11,85
9,12,68
10,1,63
10,2,34
10,3,19
10,4,76
10,5,100
10,6,48
10,7,38
10,8,70
10,9,79
10,10,789
10,11,76
10,12,65
11,1,55
11,2,36
11,3,14
11,4,109
11,5,47
11,6,86
11,7,33
11,8,42
11,9,48
11,10,40
11,11,69
11,12,47
12,1,53
12,2,25
12,3,10
12,4,42
12,5,29
12,6,30
12,7,32
12,8,28
12,9,125
12,10,48
12,11,47
12,12,76
13,1,46
13,2,29
13,3,10
13,4,20
13,5,20
13,6,14
13,7,24
13,8,8
13,9,39
13,10,39
13,11,39
13,12,52
14,1,35
14,2,20
14,3,7
14,4,7
14,5,15
14,6,5
14,7,9
14,8,34
14,9,10
14,10,24
14,11,26
14,12,27
15,1,26
15,2,23
15,3,20
15,4,10
15,5,7
15,6,20
15,7,7
15,8,4
15,9,9
15,10,10
15,11,7
15,12,20
1,13,5580
1,14,3750
1,15,4710
1,16,8310
1,17,2280
1,18,2830
2,13,24
2,14,21
2,15,13
2,16,15
2,17,9
2,18,10
3,13,32
3,14,46
3,15,17
3,16,14
3,17,27
3,18,10
4,13,59
4,14,47
4,15,35
4,16,33
4,17,22
4,18,17
5,13,60
5,14,57
5,15,40
5,16,49
5,17,18
5,18,18
6,13,118
6,14,59
6,15,41
6,16,28
6,17,29
6,18,21
7,13,125
7,14,74
7,15,39
7,16,34
7,17,34
7,18,31
8,13,53
